title,link,opening_date,deadline_date,description,ods_classification,site,type
Convocatoria para apoyar proyectos de I+D+i en recobro mejorado de hidrocarburos y al fortalecimiento de capacidades para esta temática en  instituciones de educación superior - 2025,https://minciencias.gov.co/node/9085,"Jueves, Agosto 21, 2025",jueves 25 septiembre 2025 07:00 pm,"Conformar un banco de proyectos elegibles en Ciencia, Tecnología e Innovación (CTeI) que, mediante la investigación, el desarrollo  tecnológico, la innovación, la apropiación social del conocimiento y la  formación de talento humano, contribuyan al fortalecimiento del  conocimiento ci","9, 14",MinCiencias,Regalías
Convocatoria para la financiación de proyectos de CTeI con enfoque en apropiación social del conocimiento para el desarrollo de comunidades  energéticas en el país,https://minciencias.gov.co/node/9084,"Jueves, Agosto 21, 2025",viernes 14 noviembre 2025 07:00 pm,"Conformar un banco de proyectos elegibles en Ciencia, Tecnología e Innovación con enfoque en apropiación social de conocimiento para el  desarrollo de comunidades energéticas. Líneas temáticas","9, 11, 14",MinCiencias,Regalías
CONVOCATORIA 970 PARA LA CONFORMACIÓN DE UN LISTADO DE PROYECTOS DE I+D+I QUE APLICAN A BENEFICIOS TRIBUTARIOS POR INVERSIÓN AÑO 2025,https://minciencias.gov.co/node/9074,"Viernes, Agosto 8, 2025",miércoles 10 septiembre 2025 05:00 pm,"Promover el crecimiento de los distintos sectores productivos mediante el estímulo a la inversión privada en proyectos de I+D+i a través del acceso a beneficios tributarios establecidos en los artículos 256 y 256-1 del Estatuto Tributario, dirigidos a empresas de todos los tamaños (micro, pequeñas,",unknown,MinCiencias,Regalías
